更新时间,#genre#
CCTV-6,http://123.56.129.203:3771/rtp/225.1.8.90:8000$北京电信组播源
CCTV-6,http://122.9.151.210:6279/rtp/238.255.2.135:5999$贵州电信组播源
CCTV-6,http://123.56.129.203:4310/rtp/225.1.8.84:8000$组播源
CCTV-6,http://139.196.151.191:2051/rtp/239.45.1.70:5140$组播源
CCTV-6,http://139.196.151.191:6846/rtp/239.45.1.70:5140$组播源
CCTV-7,http://116.128.242.83:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-7,http://113.218.190.140:8081/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-7,http://59.173.183.242:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-7,http://220.249.114.102:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-7,http://123.56.129.203:3771/rtp/225.1.8.7:8104$北京电信组播源
CCTV-7,http://123.56.129.203:3771/rtp/225.1.8.107:8024$北京电信组播源
CCTV-7,http://122.9.151.210:6279/rtp/238.255.2.12:5999$贵州电信组播源
CCTV-7,http://139.196.151.191:2051/rtp/239.45.3.56:5140$组播源
CCTV-7,http://123.56.129.203:2604/rtp/225.1.8.7:8104$组播源
CCTV-7,http://123.56.129.203:4310/rtp/225.1.8.7:8104$组播源
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-8,http://220.249.114.102:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-8,http://42.48.50.232:9002/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-8,http://183.94.146.109:2222/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-8,http://123.56.129.203:3771/rtp/225.1.8.85:8000$北京电信组播源
CCTV-8,http://123.56.129.203:3771/rtp/225.1.8.91:8000$北京电信组播源
CCTV-8,http://122.9.151.210:6279/rtp/238.255.2.136:5999$贵州电信组播源
CCTV-8,http://122.9.151.210:887/rtp/238.255.2.136:5999$组播源
CCTV-8,http://123.56.129.203:2604/rtp/225.1.8.91:8000$组播源
CCTV-8,http://139.196.151.191:6846/rtp/239.45.1.71:5140$组播源
CCTV-9,http://59.173.183.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-9,http://220.249.114.102:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-9,http://58.19.38.162:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-9,http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-9,http://123.56.129.203:3771/rtp/225.1.8.9:8112$北京电信组播源
CCTV-9,http://123.56.129.203:3771/rtp/225.1.8.109:8032$北京电信组播源
CCTV-9,http://122.9.151.210:6279/rtp/238.255.2.155:5999$贵州电信组播源
CCTV-9,http://123.56.129.203:4310/rtp/225.1.8.9:8112$组播源
CCTV-9,http://139.196.151.191:2051/rtp/239.45.3.4:5140$组播源
CCTV-9,http://123.56.129.203:2604/rtp/225.1.8.9:8112$组播源
CCTV-10,http://113.218.190.140:8081/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-10,http://116.128.242.83:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-10,http://183.94.146.109:2222/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-10,http://58.19.38.162:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-10,http://123.56.129.203:3771/rtp/225.1.8.10:8116$北京电信组播源
CCTV-10,http://123.56.129.203:3771/rtp/225.1.8.110:8228$北京电信组播源
CCTV-10,http://122.9.151.210:6279/rtp/238.255.2.13:5999$贵州电信组播源
CCTV-10,http://123.56.129.203:2604/rtp/225.1.8.10:8116$组播源
CCTV-10,http://139.196.151.191:2051/rtp/239.45.3.8:5140$组播源
CCTV-10,http://122.9.151.210:887/rtp/238.255.2.13:5999$组播源
CCTV-11,http://220.249.114.102:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-11,http://42.48.50.232:9002/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-11,http://113.218.190.140:8081/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-11,http://123.56.129.203:3771/rtp/225.1.8.73:8120$北京电信组播源
CCTV-11,http://123.56.129.203:3771/rtp/225.1.8.111:8040$北京电信组播源
CCTV-11,http://122.9.151.210:6279/rtp/238.255.2.14:5999$贵州电信组播源
CCTV-11,http://139.196.151.191:6846/rtp/239.45.1.196:5140$组播源
CCTV-11,http://122.9.151.210:887/rtp/238.255.2.14:5999$组播源
CCTV-11,http://123.56.129.203:2604/rtp/225.1.8.73:8120$组播源
CCTV-12,http://183.94.146.109:2222/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-12,http://220.249.114.102:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-12,http://58.19.38.162:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-12,http://42.48.50.232:9002/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-12,http://123.56.129.203:3771/rtp/225.1.8.12:8124$北京电信组播源
CCTV-12,http://123.56.129.203:3771/rtp/225.1.8.112:8232$北京电信组播源
CCTV-12,http://122.9.151.210:6279/rtp/238.255.2.15:5999$贵州电信组播源
CCTV-12,http://123.56.129.203:2604/rtp/225.1.8.112:8232$组播源
CCTV-12,http://122.9.151.210:887/rtp/238.255.2.15:5999$组播源
CCTV-12,http://123.56.129.203:2604/rtp/225.1.8.12:8124$组播源
CCTV-13,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-13,http://220.249.114.102:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13,http://42.48.50.232:9002/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13,http://123.56.129.203:3771/rtp/225.1.8.168:8130$北京电信组播源
CCTV-13,http://123.56.129.203:3771/rtp/225.1.1.10:8128$北京电信组播源
CCTV-13,http://122.9.151.210:6279/rtp/238.255.2.16:5999$贵州电信组播源
CCTV-13,http://123.56.129.203:2604/rtp/225.1.8.168:8130$组播源
CCTV-13,http://139.196.151.191:6846/rtp/239.45.1.198:5140$组播源
CCTV-13,http://122.9.151.210:887/rtp/238.255.2.16:5999$组播源
CCTV-14,http://42.48.50.232:9002/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-14,http://220.249.114.102:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://59.173.183.242:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://123.56.129.203:3771/rtp/225.1.8.14:8132$北京电信组播源
CCTV-14,http://123.56.129.203:3771/rtp/225.1.8.114:8236$北京电信组播源
CCTV-14,http://122.9.151.210:6279/rtp/238.255.2.17:5999$贵州电信组播源
CCTV-14,http://139.196.151.191:2051/rtp/239.45.3.23:5140$组播源
CCTV-14,http://122.9.151.210:887/rtp/238.255.2.17:5999$组播源
CCTV-14,http://123.56.129.203:2604/rtp/225.1.8.14:8132$组播源
CCTV-15,http://42.48.50.232:9002/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV-15,http://183.94.146.109:2222/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://59.173.183.242:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://220.249.114.102:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://123.56.129.203:3771/rtp/225.1.8.74:8136$北京电信组播源
CCTV-15,http://123.56.129.203:3771/rtp/225.1.8.115:8052$北京电信组播源
CCTV-15,http://122.9.151.210:6279/rtp/238.255.2.18:5999$贵州电信组播源
CCTV-15,http://139.196.151.191:6846/rtp/239.45.1.200:5140$组播源
CCTV-15,http://122.9.151.210:887/rtp/238.255.2.18:5999$组播源
CCTV-15,http://123.56.129.203:2604/rtp/225.1.8.115:8052$组播源
CCTV-16,http://122.9.151.210:6279/rtp/238.255.2.219:5999$贵州电信组播源
CCTV-16,http://122.9.151.210:887/rtp/238.255.2.219:5999$组播源
CCTV-16,http://120.55.49.231:6519/rtp/233.50.201.192:5140$组播源
CCTV-16,http://[2409:8087:2001:20:2800:0:df6e:eb08]:80/PLTV/1/224/3221230934/1.m3u8$订阅源|IPv6
CCTV-16,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw1269761993_1267691970/ott.mobaibox.com/PLTV/3/224/3221228320/index.m3u8?icpid=3&RTS=1674381385&from=40&popid=40&hms_devid=2113&prioritypopid=40&vqe=3$订阅源|IPv6
CCTV-16,http://[2409:8087:2001:20:2800:0:df6e:eb09]:80/PLTV/1/224/3221230934/1.m3u8$订阅源|IPv6
CCTV-16,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000008000023254/1.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=3$订阅源
CCTV-16,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8$订阅源
CCTV-16,http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$订阅源
CCTV-17,http://59.173.183.242:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-17,http://123.56.129.203:3771/rtp/225.1.8.17:8144$北京电信组播源
CCTV-17,http://123.56.129.203:3771/rtp/225.1.8.117:8064$北京电信组播源
CCTV-17,http://[2409:8087:2001:20:2800:0:df6e:eb0b]:80/wh7f454c46tw1746687450_313977963/ott.mobaibox.com/PLTV/3/224/3221227726/index.m3u8?icpid=3&RTS=1674386157&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3$订阅源|IPv6
CCTV-17,http://[2409:8087:74d9:21::9]:80/270000001128/index.m3u8?cmcc_cid=9900000513$订阅源|IPv6
CCTV-17,http://[2409:8087:1a01:df::4025]:80/TVOD/88888888/224/3221225708/main.m3u8$订阅源|IPv6
CCTV-17,http://122.9.151.210:6279/rtp/238.255.2.137:5999$贵州电信组播源
CCTV-17,http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/1.m3u8?icpid=88888888&from=1&hmsdevid=1012&vqe=3$订阅源
CCTV-17,http://119.36.148.115:59901/tsfile/live/0019_1.m3u8$订阅源
CCTV-17,http://39.98.201.151:9090/udp/225.1.8.17:8144$订阅源
CCTV-5+,http://59.173.183.242:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-5+,http://58.19.38.162:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-5+,http://183.94.146.109:2222/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-5+,http://122.9.151.210:6279/rtp/238.255.2.185:5999$贵州电信组播源
CCTV-5+,http://122.9.151.210:887/rtp/238.255.2.185:5999$组播源
CCTV-5+,http://122.9.151.210:2224/rtp/238.255.2.185:5999$组播源
CCTV-5+,http://122.9.151.210:2676/rtp/238.255.2.185:5999$组播源
CCTV-5+,http://120.55.49.231:6519/rtp/233.50.201.220:5140$组播源
CCTV-5+,http://122.9.151.210:2498/rtp/238.255.2.185:5999$组播源
CETV1,http://123.56.129.203:3771/rtp/225.1.8.169:4120$北京电信组播源
CETV1,http://122.9.151.210:6279/rtp/238.255.2.105:5999$贵州电信组播源
CETV2,http://123.56.129.203:3771/rtp/225.1.8.193:4120$北京电信组播源
CETV2,http://122.9.151.210:6279/rtp/238.255.2.221:5999$贵州电信组播源
CETV4,http://123.56.129.203:3771/rtp/225.1.8.195:4120$北京电信组播源
CETV4,http://122.9.151.210:6279/rtp/238.255.2.222:5999$贵州电信组播源
第一剧场,http://58.19.38.162:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
风云足球,http://58.19.38.162:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
风云足球,http://183.94.146.109:2222/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
风云足球,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.110.243.229:80/PLTV/4/224/3221228668/1.m3u8?accountinfo=7Nbs4SAtmisdhfg9u9VfuRylKFo%2FsFe211XeT0tFiPe3sKM6ExysDo0g3A9CbIkx5b%2FFw3kQIXPRRrkOn3II%2B%2Fc0Ta4f4DIFOsGdGiU4JeF8fi9dPYnTHN8Os8jC4LZfFgCcgHZcoIABWGUx4GF9bqeo84KrB1TAVruJzkRIWcU%3D%3A20241026024257%2C-1%2C36.156.32.22%2C20241026024257%2CG_FENGSHANGZQ-CQ%2C1734208109853_10%3A13%3A6D%3AA1%3A26%3A38%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000019436166_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FG_FENGSHANGZQ-CQ%2FG_FENGSHANGZQ-CQ&icpid=88888888&from=5&popid=5&hms_devid=6449&prioritypopid=5$订阅源
世界地理,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.110.243.200:80/PLTV/4/224/3221228680/1.m3u8?accountinfo=iqf%2B%2FzVl%2BDwUCM587YmhVxYnN9tz7M5yQyLT6YcSOlC3sKM6ExysDo0g3A9CbIkxKC%2FWpogN2oDXZwE5U7VLVlZh%2Fit2Go0ns93wVa3gyyM9IWVIwKzNTTXWP6IWBZgKFgCcgHZcoIABWGUx4GF9bqeo84KrB1TAVruJzkRIWcU%3D%3A20241026024046%2C-1%2C36.156.32.22%2C20241026024046%2CG_SHIJIEDL-CQ%2C1734227797283_6F%3A4B%3AE6%3A16%3A74%3AD4%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000019436223_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FG_SHIJIEDL-CQ%2FG_SHIJIEDL-CQ&icpid=88888888&from=5&popid=5&hms_devid=123&prioritypopid=5$订阅源

卫视,#genre#
湖北卫视,http://58.19.38.162:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
湖北卫视,http://116.128.242.83:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
湖北卫视,http://183.94.146.109:2222/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
湖北卫视,http://61.136.172.236:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
湖北卫视,http://123.56.129.203:3771/rtp/225.1.8.146:8136$北京电信组播源
湖北卫视,http://122.9.151.210:6279/rtp/238.255.2.102:5999$贵州电信组播源
湖北卫视,http://123.56.129.203:2604/rtp/225.1.8.146:8136$组播源
湖北卫视,http://122.9.151.210:887/rtp/238.255.2.102:5999$组播源
湖北卫视,http://139.196.151.191:6846/rtp/239.45.3.239:5140$组播源
湖北卫视,http://120.55.49.231:3095/rtp/233.50.201.114:5140$组播源
湖南卫视,http://116.128.242.83:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
湖南卫视,http://113.218.190.140:8081/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
湖南卫视,http://220.249.114.102:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
湖南卫视,http://42.48.50.232:9002/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
湖南卫视,http://123.56.129.203:3771/rtp/225.1.8.132:8064$北京电信组播源
湖南卫视,http://122.9.151.210:6279/rtp/238.255.2.93:5999$贵州电信组播源
湖南卫视,http://123.56.129.203:2604/rtp/225.1.8.132:8064$组播源
湖南卫视,http://120.55.49.231:8617/rtp/233.50.201.103:5140$组播源
湖南卫视,http://139.196.151.191:6846/rtp/239.45.3.228:5140$组播源
湖南卫视,http://122.9.151.210:887/rtp/238.255.2.93:5999$组播源
广东卫视,http://61.136.172.236:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广东卫视,http://183.94.146.109:2222/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广东卫视,http://220.249.114.102:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广东卫视,http://42.48.50.232:9002/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
广东卫视,http://123.56.129.203:3771/rtp/225.1.8.151:8132$北京电信组播源
广东卫视,http://122.9.151.210:6279/rtp/238.255.2.59:5999$贵州电信组播源
广东卫视,http://120.55.49.231:6519/rtp/233.50.200.187:5140$组播源
广东卫视,http://139.196.151.191:6846/rtp/239.45.3.230:5140$组播源
广东卫视,http://123.56.129.203:4310/rtp/225.1.8.151:8132$组播源
广东卫视,http://122.9.151.210:887/rtp/238.255.2.59:5999$组播源
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639$订阅源
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8$订阅源
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0$订阅源
浙江卫视,http://42.48.50.232:9002/tsfile/live/0124_2.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
浙江卫视,http://116.128.242.83:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
浙江卫视,http://220.249.114.102:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
浙江卫视,http://61.136.172.236:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
浙江卫视,http://123.56.129.203:3771/rtp/225.1.8.133:8284$北京电信组播源
浙江卫视,http://122.9.151.210:6279/rtp/238.255.2.100:5999$贵州电信组播源
浙江卫视,http://139.196.151.191:2051/rtp/239.45.3.178:5140$组播源
浙江卫视,http://139.196.151.191:6846/rtp/239.45.3.178:5140$组播源
浙江卫视,http://123.56.129.203:4310/rtp/225.1.8.133:8284$组播源
浙江卫视,http://120.55.49.231:3095/rtp/233.50.200.231:5140$组播源
北京卫视,http://61.136.172.236:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
北京卫视,http://42.48.50.232:9002/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
北京卫视,http://58.19.38.162:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
北京卫视,http://183.94.146.109:2222/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
北京卫视,http://123.56.129.203:3771/rtp/225.1.8.21:8002$北京电信组播源
北京卫视,http://122.9.151.210:6279/rtp/238.255.2.81:5999$贵州电信组播源
北京卫视,http://123.56.129.203:4310/rtp/225.1.8.21:8002$组播源
北京卫视,http://122.9.151.210:887/rtp/238.255.2.81:5999$组播源
北京卫视,http://139.196.151.191:2051/rtp/239.45.3.229:5140$组播源
北京卫视,http://120.55.49.231:3095/rtp/233.50.201.107:5140$组播源
黑龙江卫视,http://113.218.190.140:8081/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
黑龙江卫视,http://220.249.114.102:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
黑龙江卫视,http://42.48.50.232:9002/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
黑龙江卫视,http://61.136.172.236:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
黑龙江卫视,http://123.56.129.203:3771/rtp/225.1.8.141:8196$北京电信组播源
黑龙江卫视,http://122.9.151.210:6279/rtp/238.255.2.96:5999$贵州电信组播源
黑龙江卫视,http://123.56.129.203:2604/rtp/225.1.8.141:8196$组播源
黑龙江卫视,http://139.196.151.191:6846/rtp/239.45.3.232:5140$组播源
黑龙江卫视,http://[2409:8087:2001:20:2800:0:df6e:eb13]:80/wh7f454c46tw516512633_-1915271837/ott.mobaibox.com/PLTV/3/224/3221227638/index.m3u8?$订阅源|IPv6
